Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1649661
2430090000 >> Error detected...
2430715000 >> Error detected...
2432165000 >> Error detected...
2432990000 >> Error detected...
2433440000 >> Error detected...
2434140000 >> Error detected...
2434565000 >> Error detected...
2436140000 >> Error detected...
2436765000 >> Error detected...
2438215000 >> Error detected...
2438865000 >> Error detected...
2439490000 >> Error detected...
2440190000 >> Error detected...
2440615000 >> Error detected...
2442190000 >> Error detected...
2442815000 >> Error detected...
2444265000 >> Error detected...
2444915000 >> Error detected...
2445540000 >> Error detected...
2446240000 >> Error detected...
2446665000 >> Error detected...
2448240000 >> Error detected...
2448865000 >> Error detected...
2450315000 >> Error detected...
2450965000 >> Error detected...
2451415000 >> Error detected...
2452290000 >> Error detected...
2452715000 >> Error detected...
2454290000 >> Error detected...
2454915000 >> Error detected...
2456365000 >> Error detected...
2457015000 >> Error detected...
2457465000 >> Error detected...
2458165000 >> Error detected...
2458765000 >> Error detected...
2460340000 >> Error detected...
2460965000 >> Error detected...
2462415000 >> Error detected...
2463065000 >> Error detected...
2463515000 >> Error detected...
2464215000 >> Error detected...
2464815000 >> Error detected...
2466390000 >> Error detected...
2467015000 >> Error detected...
2468465000 >> Error detected...
2469115000 >> Error detected...
2469565000 >> Error detected...
2470265000 >> Error detected...
2470690000 >> Error detected...
2472440000 >> Error detected...
2473065000 >> Error detected...
2474515000 >> Error detected...
2475165000 >> Error detected...
2475615000 >> Error detected...
2476315000 >> Error detected...
2476740000 >> Error detected...
2478490000 >> Error detected...
2479115000 >> Error detected...
2480565000 >> Error detected...
2481215000 >> Error detected...
2481665000 >> Error detected...
2482365000 >> Error detected...
2482790000 >> Error detected...
2484540000 >> Error detected...
2485165000 >> Error detected...
2486615000 >> Error detected...
2487265000 >> Error detected...
2487715000 >> Error detected...
2488415000 >> Error detected...
2488840000 >> Error detected...
2490590000 >> Error detected...
2491215000 >> Error detected...
2492665000 >> Error detected...
2493315000 >> Error detected...
2493765000 >> Error detected...
2494465000 >> Error detected...
2494890000 >> Error detected...
2496465000 >> Error detected...
2497240000 >> Error detected...
2498690000 >> Error detected...
2499340000 >> Error detected...
2499790000 >> Error detected...
2500490000 >> Error detected...
2500915000 >> Error detected...
2502490000 >> Error detected...
2503290000 >> Error detected...
2504740000 >> Error detected...
2505390000 >> Error detected...
2505840000 >> Error detected...
2506540000 >> Error detected...
2506965000 >> Error detected...
2508540000 >> Error detected...
2509165000 >> Error detected...
2510790000 >> Error detected...
2511440000 >> Error detected...
2511890000 >> Error detected...
2512590000 >> Error detected...
2513015000 >> Error detected...
2514590000 >> Error detected...
2515215000 >> Error detected...
2516840000 >> Error detected...
2517490000 >> Error detected...
2517940000 >> Error detected...
2518640000 >> Error detected...
2519065000 >> Error detected...
2520640000 >> Error detected...
2521265000 >> Error detected...
2522890000 >> Error detected...
2523540000 >> Error detected...
2523990000 >> Error detected...
2524690000 >> Error detected...
2525115000 >> Error detected...
2526690000 >> Error detected...
2527315000 >> Error detected...
2528940000 >> Error detected...
2529590000 >> Error detected...
2530040000 >> Error detected...
2530740000 >> Error detected...
2531165000 >> Error detected...
2532740000 >> Error detected...
2533365000 >> Error detected...
2534815000 >> Error detected...
2535640000 >> Error detected...
2536090000 >> Error detected...
2536790000 >> Error detected...
2537215000 >> Error detected...
2538790000 >> Error detected...
2539415000 >> Error detected...
2540865000 >> Error detected...
2541690000 >> Error detected...
2542140000 >> Error detected...
2542840000 >> Error detected...
2543265000 >> Error detected...
2544840000 >> Error detected...
2545465000 >> Error detected...
2546915000 >> Error detected...
2547565000 >> Error detected...
2548190000 >> Error detected...
2548890000 >> Error detected...
2549315000 >> Error detected...
2550890000 >> Error detected...
2551515000 >> Error detected...
2552965000 >> Error detected...
2553615000 >> Error detected...
2554065000 >> Error detected...
2554940000 >> Error detected...
2555365000 >> Error detected...
2556940000 >> Error detected...
2557565000 >> Error detected...
2559015000 >> Error detected...
2559665000 >> Error detected...
2560115000 >> Error detected...
2560990000 >> Error detected...
2561415000 >> Error detected...
2562990000 >> Error detected...
2563615000 >> Error detected...
2565065000 >> Error detected...
2565715000 >> Error detected...
2566165000 >> Error detected...
2566865000 >> Error detected...
2567465000 >> Error detected...
2569040000 >> Error detected...
2569665000 >> Error detected...
2571115000 >> Error detected...
2571765000 >> Error detected...
2572215000 >> Error detected...
2572915000 >> Error detected...
2573515000 >> Error detected...
2575090000 >> Error detected...
2575715000 >> Error detected...
2577165000 >> Error detected...
2577815000 >> Error detected...
2578265000 >> Error detected...
2578965000 >> Error detected...
2579390000 >> Error detected...
2581115000 >> Error detected...
2581740000 >> Error detected...
2583190000 >> Error detected...
2583840000 >> Error detected...
2584290000 >> Error detected...
2584990000 >> Error detected...
2585415000 >> Error detected...
2587165000 >> Error detected...
2587790000 >> Error detected...
2589240000 >> Error detected...
2589890000 >> Error detected...
2590340000 >> Error detected...
2591040000 >> Error detected...
2591465000 >> Error detected...
2593215000 >> Error detected...
2593840000 >> Error detected...
2595290000 >> Error detected...
2595940000 >> Error detected...
2596390000 >> Error detected...
2597090000 >> Error detected...
2597515000 >> Error detected...
2599090000 >> Error detected...
2599865000 >> Error detected...
2601315000 >> Error detected...
2601965000 >> Error detected...
2602415000 >> Error detected...
2603115000 >> Error detected...
2603540000 >> Error detected...
2605115000 >> Error detected...
2605915000 >> Error detected...
2607365000 >> Error detected...
2608015000 >> Error detected...
2608465000 >> Error detected...
2609165000 >> Error detected...
2609590000 >> Error detected...
2611165000 >> Error detected...
2611790000 >> Error detected...
2613415000 >> Error detected...
2614065000 >> Error detected...
2614515000 >> Error detected...
2615215000 >> Error detected...
2615640000 >> Error detected...
2617215000 >> Error detected...
2617840000 >> Error detected...
2619465000 >> Error detected...
2620115000 >> Error detected...
2620565000 >> Error detected...
2621265000 >> Error detected...
2621690000 >> Error detected...
2623265000 >> Error detected...
2623890000 >> Error detected...
2625515000 >> Error detected...
2626165000 >> Error detected...
2626615000 >> Error detected...
2627315000 >> Error detected...
2627740000 >> Error detected...
2629315000 >> Error detected...
2629640000 >> Error detected...
2629940000 >> Error detected...
2630515000 >> Error detected...
2637215000 >> prog fin.
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.wreg:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.icc:0100
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ticc:0
