Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 57506
586290000 >> iteration no: 0
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
900565000 >> Error detected...
900840000 >> Error detected...
901415000 >> Error detected...
901740000 >> Error detected...
903315000 >> Error detected...
903940000 >> Error detected...
904440000 >> Error detected...
905615000 >> Error detected...
906465000 >> Error detected...
906715000 >> Error detected...
907040000 >> Error detected...
907615000 >> Error detected...
908590000 >> Error detected...
912165000 >> Error detected...
912790000 >> Error detected...
914340000 >> Error detected...
915515000 >> Error detected...
918540000 >> Error detected...
918815000 >> Error detected...
919390000 >> Error detected...
919715000 >> Error detected...
921115000 >> Error detected...
921740000 >> Error detected...
922240000 >> Error detected...
923590000 >> Error detected...
924440000 >> Error detected...
924690000 >> Error detected...
925015000 >> Error detected...
925590000 >> Error detected...
926565000 >> Error detected...
930140000 >> Error detected...
930765000 >> Error detected...
932315000 >> Error detected...
933490000 >> Error detected...
936515000 >> Error detected...
936790000 >> Error detected...
937365000 >> Error detected...
937690000 >> Error detected...
939090000 >> Error detected...
939715000 >> Error detected...
940215000 >> Error detected...
941390000 >> Error detected...
942415000 >> Error detected...
942665000 >> Error detected...
942990000 >> Error detected...
943565000 >> Error detected...
944540000 >> Error detected...
948115000 >> Error detected...
948740000 >> Error detected...
950290000 >> Error detected...
951465000 >> Error detected...
954490000 >> Error detected...
954765000 >> Error detected...
955340000 >> Error detected...
955665000 >> Error detected...
957065000 >> Error detected...
957690000 >> Error detected...
958190000 >> Error detected...
959365000 >> Error detected...
960215000 >> Error detected...
960465000 >> Error detected...
960965000 >> Error detected...
961540000 >> Error detected...
962515000 >> Error detected...
963340000 >> Error detected...
963640000 >> Error detected...
963915000 >> Error detected...
964565000 >> Error detected...
965190000 >> Error detected...
965840000 >> Error detected...
966440000 >> Error detected...
967465000 >> Error detected...
967715000 >> Error detected...
968040000 >> Error detected...
968615000 >> Error detected...
969590000 >> Error detected...
972990000 >> Error detected...
973790000 >> Error detected...
975340000 >> Error detected...
976515000 >> Error detected...
979365000 >> Error detected...
979640000 >> Error detected...
980365000 >> Error detected...
980690000 >> Error detected...
982090000 >> Error detected...
982715000 >> Error detected...
983215000 >> Error detected...
984390000 >> Error detected...
985240000 >> Error detected...
985490000 >> Error detected...
